author,headline,image,summary
"By John Wagner, Nick Miroff and Mike DeBonis","Trump, in reversal, says he will sign order to end family separations at border",,"For days, President Trump and his top administration officials were unwilling to unilaterally reverse the separation policy. But images of young children housed in metal cages set off an international outcry that reached the White House."
By Aaron Blake,Trump and Kirstjen Nielsen’s embarrassing surrender on separating families,,Make no mistake: The administration just admitted its arguments were bogus and that it overplayed its hand.
By Maria Sacchetti,"Near the border, different buses take migrants on starkly different paths","<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_1248x832/2010-2019/WashingtonPost/2018/06/20/Local/Images/BUSIMMIGRATION_189.jpg?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2018/06/20/Local/Images/BUSIMMIGRATION_189.jpg?t=20170517a"" data-threshold=""480"" height=""320"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""480""/>",Since the White House announced in May it would prosecute 100 percent of all people caught crossing the border illegally — even if that meant separating parents from their children — advocates for immigrants say the system is overwhelmed and leading to sometimes haphazard results. 
By Felicia Sonmez,"Longtime GOP strategist criticizes family separation policy, says he’s leaving the party ",,"In early-morning tweets, Steve Schmidt , a vocal critic of President Trump, urged voters to elect Democrats in the 2018 midterm elections."
By Erica Werner,Senate rejects billions in Trump spending cuts as two Republicans vote ‘no’,"<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2018/06/20/National-Economy/Images/Senate_Aide_Leaks_Investigation_07922-b965e.jpg?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_112x75/2010-2019/WashingtonPost/2018/06/20/National-Economy/Images/Senate_Aide_Leaks_Investigation_07922-b965e.jpg?t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>",GOP Sens. Susan Collins and Richard Burr joined Democrats in rebuffing the package of cuts.
By Erica Werner,"Republicans, Commerce secretary square off in heated hearing over tariffs","<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2018/06/20/National-Economy/Images/Congress_Tariffs_78434-fcdda.jpg?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_112x75/2010-2019/WashingtonPost/2018/06/20/National-Economy/Images/Congress_Tariffs_78434-fcdda.jpg?t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>",Commerce Secretary Wilbur Ross defended the Trump administration’s tariffs on imported steel and aluminum amid bipartisan criticism.
By John Hudson and Karen DeYoung,Key nuclear expert departs White House as North Korea negotiations loom,"<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2018/06/16/Production/Daily/A-Section/Images/The_Week_That_Was_In_Asia_Photo_Gallery_83120.jpg-169c1.jpg?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_112x75/2010-2019/WashingtonPost/2018/06/16/Production/Daily/A-Section/Images/The_Week_That_Was_In_Asia_Photo_Gallery_83120.jpg-169c1.jpg?t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>","The departure of Andrea Hall comes as the administration assembles a team capable of understanding and negotiating over an elaborate array of production facilities, warheads and missiles."
"By Julie Zauzmer, Michelle Boorstein and Dana Hedgpeth","Cardinal McCarrick, former D.C. archbishop, removed from ministry after sexual misconduct allegations","<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2015/09/23/Local/Images/JN1_0035a1443037573.jpg?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_112x75/2010-2019/WashingtonPost/2015/09/23/Local/Images/JN1_0035a1443037573.jpg?t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>",Church officials announced that McCarrick has been credibly accused of abusing a teenager in New York decades ago — and that he had faced three earlier allegations of sexual misconduct with adults.
By Amy Gardner,Can ‘Sam’s Club’ Republican Tim Pawlenty win in Trump’s GOP?,"<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/rf/image_480x320/2010-2019/WashingtonPost/2018/06/19/Others/Images/2018-06-16/Gruber_Pawlenty_02.JPG?t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/rf/image_112x75/2010-2019/WashingtonPost/2018/06/19/Others/Images/2018-06-16/Gruber_Pawlenty_02.JPG?t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>","The former Minnesota governor, known for Midwestern civility, seeks his old office in a party that has remade itself in his absence."
By Cindy Boren,‘We do not deserve this’: Female reporter groped during a live World Cup broadcast,"<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/soccer-insider/files/2018/06/theran.jpg&amp;w=480&amp;h=320&amp;t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/soccer-insider/files/2018/06/theran.jpg&amp;w=112&amp;h=75&amp;t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>","Julieth Gonzalez Theran, who said she only wants to talk about soccer “systems and strategy,” was doing a live shot when a stranger ran up to her and interrupted."
By Emily Yahr,Done watching ‘The Handmaid’s Tale’ after that brutal scene? The episode’s writer responds.,"<img class="" _3-to-2 unprocessed placeholder"" data-hi-res-src=""https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/style-blog/files/2017/07/HMT_110_GK_0127_0041rt_f.jpg&amp;w=480&amp;h=320&amp;t=20170517a"" data-low-res-src=""https://www.washingtonpost.com/wp-apps/imrs.php?src=http://www.washingtonpost.com/blogs/style-blog/files/2017/07/HMT_110_GK_0127_0041rt_f.jpg&amp;w=112&amp;h=75&amp;t=20170517a"" data-threshold=""112"" height=""75"" src=""https://www.washingtonpost.com/resizer/TXJKur-cQ3m4AF9lqk_kkjfemkk=/3x2/www.washingtonpost.com/pb/resources/img/spacer.gif?t=20170517a"" width=""112""/>","The acclaimed drama had already featured scenes of rape, torture and death, but the latest episode included one of the show’s most disturbing scenes ever."
